ID,MODE,CODINT,优先级,CI,flag_dur_low,flag_dur_high,flag_md,flag_long,flag_dkna,DUR,DUR_z,访问员标记率,标记率超均值倍数,MD_d2,LS_run,DKNA_count,P11A_标签,P11A_翻转,P11B_标签,P11B_翻转,P11C_标签,P11C_翻转,P11D_标签,P11D_翻转,P11E_标签,P11E_翻转,P22,P23,P25,P07Ctx,P10tx,P12Btx,P16Btx,P07Ctx_有效,P10tx_有效,P12Btx_有效,P16Btx_有效,开放题有效计数,维度A分,维度B分,维度C分,总分,决策,备注
15645,CATI,Eva,常规,1,0,0,0,1,0,14.4,0.7771745339725232,0.25,0.9117398648648648,7.4263249237239695,8,0,Strongly disagree,5.0,Strongly agree,5.0,Strongly agree,5.0,Agree,4.0,Disagree,2.0,Man,39.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",3,IGUALDAD, , ,0,1,0,0,1,2.0,0.0,0.0,2.0,剔除,LS 唯一开放字段为泛词/编码（IGUALDAD）无实质自证 → 门槛剔除
15733,CATI,Luna,常规,1,0,0,0,1,0,10.8,-0.0168568712358862,0.2325581395348837,0.8481301068510371,11.018516098732098,8,0,Strongly disagree,5.0,Strongly agree,5.0,Strongly agree,5.0,Strongly agree,5.0,Disagree,2.0,Man,53.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","1, 3, 6",IGUAL SALARIAL Y DE GENERO, , ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,LS 单字段具体议题自证+作答模式合理 → 保留
15926,CATI,Daniel,常规,1,0,0,1,0,0,10.3,-0.1476918100929124,0.293859649122807,1.0716942271218588,13.570613972500333,2,0,Strongly disagree,5.0,Agree,4.0,Strongly agree,5.0,Strongly disagree,1.0,Strongly disagree,1.0,Woman,40.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)","1, 2, 6, 7",0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,MD 信号命中+开放题全空无自证 → 自证门槛剔除
15940,CATI,Daniel,常规,1,0,0,0,0,1,9.4,-0.4000593991591736,0.293859649122807,1.0716942271218588,1.427689860011049,3,4,Neither agree nor disagree,3.0,Strongly agree,5.0,Agree,4.0,Agree,4.0,Agree,4.0,Woman,54.0,"COU, BUP, Higher Baccalaurate", ,88,3, ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DKNA 信号命中+开放题全空无自证 → 自证门槛剔除
16018,CATI,Daniel,常规,1,1,0,0,0,0,8.1,-0.8108882764442957,0.293859649122807,1.0716942271218588,3.4342525909569432,3,2,Strongly disagree,5.0,Agree,4.0,Agree,4.0,Agree,4.0,Neither agree nor disagree,3.0,Woman,55.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate",5,IGUALDAD,1,1,0,1,0,0,1,2.0,0.0,0.0,2.0,剔除,DUR低 唯一开放字段为泛词/编码（IGUALDAD）无实质自证 → 门槛剔除
16066,CATI,Eva,常规,1,0,0,0,1,0,9.4,-0.4000593991591736,0.25,0.9117398648648648,1.3137918149468455,7,1,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Man,60.0,"FP2, Higher Vocational Training, Conservatoire 10 years","1, 6",IGUALDAD, ,10,0,1,0,0,1,2.0,2.0,0.0,4.0,剔除,LS 唯一开放字段为泛词/编码（IGUALDAD）无实质自证 → 门槛剔除
16107,CATI,Tomas,常规,1,0,0,0,1,0,11.2,0.0835214782351577,0.3103448275862069,1.1318150046598323,9.50674077962295,7,2,Strongly disagree,5.0,Strongly agree,5.0,Agree,4.0,Disagree,2.0,Strongly disagree,1.0,Man,50.0,"FP2, Higher Vocational Training, Conservatoire 10 years",1,IGUALDAD EN GENERAL, , ,0,1,0,0,1,2.0,0.0,0.0,2.0,剔除,LS 唯一开放字段为泛词/编码（IGUALDAD EN GENERAL）无实质自证 → 门槛剔除
16170,CATI,Daniel,常规,1,1,0,0,0,0,7.8,-0.915055371063197,0.293859649122807,1.0716942271218588,10.910891714467477,4,1,Agree,2.0,Agree,4.0,Strongly disagree,1.0,Strongly disagree,1.0,Strongly disagree,1.0,Man,28.0,"FP2, Higher Vocational Training, Conservatoire 10 years", ,88, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DUR低 信号命中+开放题全空无自证 → 自证门槛剔除
16214,CATI,Luna,常规,1,0,0,0,1,0,12.2,0.3195712639337898,0.2325581395348837,0.8481301068510371,1.1184076202728268,6,0,Agree,2.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Man,52.0,"FP2, Higher Vocational Training, Conservatoire 10 years","1, 2",IGUALDAD SALARIAL,1, ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,LS 单字段具体议题自证+作答模式合理 → 保留
16232,CATI,Juana,常规,1,0,0,0,1,0,20.1,1.6976448582170536,0.1666666666666666,0.6078265765765766,1.3137918149468455,6,0,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Man,65.0,Primary school (or has attended school for 5 years or more),"1, 5, 6",TODAS SON IMPORTANTES,1,"3, 10",0,1,0,0,1,2.0,2.0,0.0,4.0,剔除,LS 唯一开放字段为泛词/编码（TODAS SON IMPORTANTE）无实质自证 → 门槛剔除
16403,CATI,Daniel,常规,1,0,0,0,0,1,13.2,0.5370143969456508,0.293859649122807,1.0716942271218588,5.290604928128141,3,5,Agree,2.0,Disagree,2.0,Agree,4.0,Agree,4.0,Agree,4.0,Woman,75.0,Primary school (or has attended school for 5 years or more),1,99,9, ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DKNA 信号命中+开放题全空无自证 → 自证门槛剔除
16406,CATI,David,常规,1,0,0,0,1,0,10.0,-0.2292770721848513,0.3942857142857143,1.4379440154440155,2.0826085769029263,6,1,Agree,2.0,Strongly agree,5.0,Agree,4.0,Neither agree nor disagree,3.0,Neither agree nor disagree,3.0,Man,38.0,"FP2, Higher Vocational Training, Conservatoire 10 years",9,0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,LS 信号命中+开放题全空无自证 → 自证门槛剔除
16501,CATI,David,常规,1,1,0,0,0,0,8.1,-0.8108882764442957,0.3942857142857143,1.4379440154440155,4.005028726607633,3,2,Agree,2.0,Strongly agree,5.0,Strongly agree,5.0,Neither agree nor disagree,3.0,Disagree,2.0,Woman,37.0,"FP2, Higher Vocational Training, Conservatoire 10 years","5, 9","TODAS, IGUALDAD REAL",1, ,0,1,0,0,1,1.0,0.0,0.0,1.0,保留,DUR低 单字段具体议题自证+作答模式合理 → 保留
16522,CATI,David,常规,1,1,0,0,0,0,8.1,-0.8108882764442957,0.3942857142857143,1.4379440154440155,3.7427191972620255,5,0,Disagree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Disagree,2.0,Man,39.0,"FP2, Higher Vocational Training, Conservatoire 10 years","1, 8",0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,DUR低 信号命中+开放题全空无自证 → 自证门槛剔除
