row_id,COUNTRY_CODE,COUNTRY_NAME,final_decision,invalid_source,both_len,screening_tier,trigger_reason,signal_count,signal_attention,signal_longstring,signal_mahalanobis,signal_odd_even,ls_max_run,md_score,oe_r,BENEFIT_OPEN,TRUST_OPEN,BENEFIT_OPEN_ZH,ATTCHECK_NUMBER,ATTCHECK_RES,DEM_AGE,DEM_GENDER,DEM_EDU,DEM_AGEGRP
33086,GRC,Greece,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,6.0,4.781306962489641,0.0,-99,NA,,213,1,75,1,4,60+
33105,GRC,Greece,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,6.0,3.9866685258622994,-0.2,-99,NA,,213,1,60,1,4,60+
33185,GRC,Greece,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,15.0,5.90231782932961,0.0,-99,NA,,213,1,62,1,4,60+
33216,DEU,Germany,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,11.0,3.3722274094383256,0.727606875108999,NA,geht ,,213,1,28,0,4,18-29
33224,GRC,Greece,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,5.0,4.380511733773553,-0.7071067811865476,Όλοι,NA,,213,1,41,1,4,40-49
33226,DEU,Germany,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,10.0,4.471522266365143,-0.4338609156373123,NA,-99,,213,1,53,1,3,50-59
33276,DEU,Germany,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,6.0,5.713921321575914,0.3535533905932738,Alle,NA,,213,1,56,1,3,50-59
33333,DEU,Germany,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,13.0,5.296770069492509,1.0,-99,NA,,213,1,30,1,4,30-39
33364,DEU,Germany,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,12.0,6.183441023109729,0.727606875108999,-99,NA,,213,1,60,1,3,60+
33365,DEU,Germany,invalid,rule_A_only,2,NORMAL,,0,0,0,0,0,3.0,8.192128841151735,0.0,NA,--,,213,1,32,1,4,30-39
33429,GRC,Greece,invalid,rule_A_only,3,NORMAL,,0,0,0,0,0,12.0,4.28253752038939,-0.4472135954999579,ΕΓΩ,NA,,213,1,42,1,4,40-49
33476,GRC,Greece,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,5.0,8.382461394752038,-0.2970442628930023,NA,-99,,213,1,NA,0,2,NA
33488,DEU,Germany,invalid,rule_A_only,5,NORMAL,,0,0,0,0,0,10.0,4.86472829134101,,Jeder,NA,,213,1,34,0,3,30-39
33548,DEU,Germany,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,5.0,4.472552656866953,0.0,NA,Weiß ,,213,1,50,1,3,50-59
33587,DEU,Germany,invalid,rule_A_only,1,NORMAL,,0,0,0,0,0,12.0,4.145282286133833,,NA,.,,213,1,47,0,3,40-49
33641,DEU,Germany,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,12.0,4.384654865471502,0.6123724356957946,Alle,NA,,213,1,36,0,3,30-39
33646,DEU,Germany,invalid,rule_A_only,1,NORMAL,,0,0,0,0,0,12.0,4.112899916831749,-0.7592566023652966,-,NA,,213,1,53,1,3,50-59
33652,DEU,Germany,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,12.0,4.67212250223137,0.8401680504168059,Alle,NA,,213,1,39,0,4,30-39
33694,DEU,Germany,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,12.0,3.5217791841013097,1.0,NA,-99,,213,1,30,1,4,30-39
33712,DEU,Germany,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,5.0,5.2672267678551545,0.2,Alle,NA,,213,1,27,0,4,18-29
33737,GRC,Greece,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,8.0,3.3616329938386964,,NA,-99,,213,1,53,0,2,50-59
33774,DEU,Germany,invalid,rule_A_only,0,NORMAL,,0,0,0,0,0,16.0,2.8626673767020816,,NA,-99,,213,1,39,0,4,30-39
33822,GRC,Greece,invalid,rule_A_only,4,NORMAL,,0,0,0,0,0,16.0,5.910541373616799,0.4472135954999579,Όλοι ,NA,,213,1,30,1,4,30-39
33826,DEU,Germany,invalid,rule_A_only,1,NORMAL,,0,0,0,0,0,12.0,3.8930480601623048,0.3872983346207417,-,NA,,213,1,35,0,4,30-39
